name,num_threads,status,cpu_percent,create_time,pid,memory_percent,timestamp,system_cpu,system_memory,cpu_user_time,cpu_system_time,mem_rss,mem_vms,nice,ppid,read_speed,write_speed,record_id
chrome.exe,44,running,0,1763091427.8785343,8736,1.3956938562345318,1763091978.3984332,9,52.8,13.75,10.765625,234360832,90648576,32,4284,0,0,0_8736
powershell.exe,12,running,0,1763091717.9143257,9116,0.4467088730486216,1763091978.3984332,9,52.8,1.140625,0.296875,75010048,54362112,32,5856,0,0,0_9116
CodeSetup-stable-ac4cbdf48759c7d8c3eb91ffe6bb04316e263c57.tmp,4,running,0,1763091761.090718,9528,0.28871546013233684,1763091978.3984332,9,52.8,13.1875,2.46875,48480256,26492928,32,11908,0,0,0_9528
OneDrive.exe,44,running,0,1763091427.8220713,9536,1.213478201690044,1763091978.3984332,9,52.8,1.796875,2.109375,203763712,134254592,32,4284,0,0,0_9536
AsusOSD.exe,8,running,0,1763091468.4159782,9684,0.081667739,1763091978.3984332,9,52.8,0.09375,0.046875,13713408,3104768,32,2584,0,0,0_9684
mc-fw-host.exe,46,running,0,1763091408.2860668,9740,0.18614292634926177,1763091978.3984332,9,52.8,0.0625,0.140625,31256576,9879552,32,4668,0,0,0_9740
ShellHost.exe,7,running,0,1763091410.4086688,9936,0.4062165053720687,1763091978.3984332,9,52.8,0.046875,0.09375,68210688,33931264,32,5708,0,0,0_9936
msedgewebview2.exe,7,running,0,1763091474.5069344,10000,0.059811618,1763091978.3984332,9,52.8,0.015625,0,10043392,2306048,32,7376,0,0,0_10000
msedgewebview2.exe,8,running,0,1763091474.629994,10012,0.014684581530894457,1763091978.3984332,9,52.8,0.046875,0.03125,2465792,11497472,32,7376,0,0,0_10012
svchost.exe,4,running,0,1763091409.9532056,10300,0.071666612,1763091978.3984332,9,52.8,0.09375,0.046875,12034048,2457600,32,1328,0,0,0_10300
msedgewebview2.exe,21,running,0,1763091474.602398,10532,0.054103657534092874,1763091978.3984332,9,52.8,0.125,0.09375,9084928,13762560,32,7376,0,0,0_10532
chrome.exe,10,running,0,1763091428.4540036,10568,0.14018652833563197,1763091978.3984332,9,52.8,0.046875,0.046875,23539712,10113024,32,8736,0,0,0_10568
Code.exe,15,running,0,1763091718.0090394,10628,3.844823489866419,1763091978.3984332,9,52.8,11.4375,3.171875,645611520,650424320,32,15184,0,0,0_10628
PhoneExperienceHost.exe,16,running,0,1763091425.610773,11064,1.0747552529089863,1763091978.3984332,9,52.8,1.546875,0.625,180469760,72126464,32,1572,0,0,0_11064
